title,key
ScrInfo impl misses the first provided service,FELIX-4843
CONTEXT.Source.INSTANCE cannot work,FELIX-4842
Support HttpSessionIdListener,FELIX-4841
Asynchronous IO fails in webconsole plugin,FELIX-4840
Release maven-bundle-plugin With bndlib 2.4.1,FELIX-4839
Deadlock in Service Registry,FELIX-4838
Workaround for JNLPClassLoader in ShutdownHook ,FELIX-4837
Bnd Scrplugin is called twice by BndTools,FELIX-4836
Use bnd 2.3 (via maven-bundle-plugin 2.5.3) to avoid java 8 import problems,FELIX-4835
Maven bundle plugin page 404/redirect,FELIX-4834
Revisit some javadocs in the DM annotations.,FELIX-4833
ClassCastException with autoconfig Iterable fields,FELIX-4832
Simplify the declaration of capabilities,FELIX-4831
Missing version of imported packages,FELIX-4830
" Gogo command error logging to available LogService",FELIX-4829
the Private-Package value is !* when there's no java src package in a certain maven project,FELIX-4828
Improve logging on LoginModule registration,FELIX-4827
expose OptionalAttributes as interface on AttributeDefinition and ObjectClassDefinition implementations,FELIX-4826
The resolver may return wires to unresolved resources in some cases,FELIX-4825
Add support for prepending instructions,FELIX-4824
"Filtering snapshots is failing if version qualifier contains more than ""SNAPSHOT"".",FELIX-4823
Create markers in m2e for baseline warnings/errors,FELIX-4822
Use a faster implementation for StringMap,FELIX-4821
Optimize version range parsing a bit,FELIX-4820
Use Set instead of List for cycle detection,FELIX-4819
New release process for Dependency Manager,FELIX-4818
Baseline plugin is not thread safe,FELIX-4817
bndtools-ify Dependency Manager,FELIX-4816
Update to latest Jetty version,FELIX-4814
Metatype information might contain wrong default values,FELIX-4813
BundleRepository can be quite CPU intensive when starting a lot of bundles,FELIX-4812
Optimize ConfigurationManager#listConfigurations,FELIX-4811
Cache WeakZipFile#entries,FELIX-4810
Add comparisonGroupId support,FELIX-4809
JDK 9 - default.property does not define eecap-1.9,FELIX-4808
New thread model for Dependency Manager,FELIX-4807
Ungetting service through ServiceObjects might throw IllegalArgumentException,FELIX-4806
Deprecate DM annotation metatypes,FELIX-4805
Servlet filters should not run if no servlet/resource is targetted,FELIX-4804
Implement latest changes to ServletContetxHelper handling,FELIX-4803
Aggregate Dependency with Field Injection does not respect SERVICE_RANKING,FELIX-4802
Create system package definintions for Java 9,FELIX-4801
Bundle search in /system/console/bundles produces 405,FELIX-4800
Support for multiple factory designates in single MetaType file,FELIX-4799
Support async servlets (filters),FELIX-4798
Enable client certificate requesting without verifying the certificates,FELIX-4797
Log deprecation warning if Felix whiteboard is used,FELIX-4796
Servlet API 3.x not supported,FELIX-4795
Implement osgi.http.whiteboard.target property handling,FELIX-4794
Components with an empty configuration are created even if configuration is required or available,FELIX-4793
[SCR] Handle Errors on component initialization,FELIX-4792
The ResolverImpl can throw NullPointerException if bundle capability is null,FELIX-4791
SCR MutablePropertiesTest fails when run with framework 4.6.0,FELIX-4790
SCR Felix4188Test fails when run with framework 4.4.1 or newer,FELIX-4789
trigger URLHandlersBundleStreamHander.hashcode()  when bundeld>255,FELIX-4788
Update DS Implementation to R6,FELIX-4787
Update to latest DS implementation,FELIX-4786
Incompatible SCR API,FELIX-4785
Using iPOJO in a JavaFX Application,FELIX-4784
ConcurrentModificationException when stopping,FELIX-4783
Implement session handling,FELIX-4782
Implement various listeners,FELIX-4781
[RFC189] Revisit error page implementation,FELIX-4780
Improve request dispatching,FELIX-4779
Implement ordering of ServletContextHelper,FELIX-4778
Dynamic initialization time configuration of @ConfigurationDependency ,FELIX-4777
Add <skip>true</skip> for configuration of maven-bundle-plugin,FELIX-4776
Build problems,FELIX-4775
"Support for @Reference annotation with unbind method ""-""",FELIX-4774
Generated service component xml does not conform to XSD,FELIX-4773
Update Documentation to include new Native R6 Launch Properties,FELIX-4772
Possible NPE when accessing content of attribute,FELIX-4771
[DS] Dynamic greedy unary reference not implemented,FELIX-4770
[RFC190/212] Implement ComponentServiceObjects,FELIX-4769
[RFC190/212] Reference can specify both method and field,FELIX-4768
Bulgarian i18n for Web Console is out of sync,FELIX-4767
"If stdout is not available, gosh shell terminates felix runtime unless -Dgosh.args=--nointeractive used",FELIX-4766
RepositoryAdmin don´t discover my required resources.,FELIX-4765
Add support to GZIP based compact index files,FELIX-4764
Reload button on user admin plugin doesn't work correctly.,FELIX-4763
" OutOfMemoryError (Java Heap Space) when resolving bundles ",FELIX-4762
Modifications on Properties#entrySet() are not properly reflected in the layout,FELIX-4761
Support default/alternate values for variable substitution,FELIX-4760
Support env:XXX subtitution for environment variables,FELIX-4759
SCRCommandlTest test failure on Windows,FELIX-4758
Native Capabilities should allow OS and Processor alias to load from default and config properties,FELIX-4757
Throw Invalid BundleContext when getAllServiceReferences(),FELIX-4756
[DS] avoid churn when changing global extender property,FELIX-4755
OBR parse exception when installing org.jacoco.report bundle,FELIX-4754
Timing issues with bundle context configuration and CM configuration taking effect.,FELIX-4753
getAllServiceReferences() Throw IllegalStateException: Invalid BundleContext,FELIX-4752
getAllServiceReferences() Throw IllegalStateException: Invalid BundleContext,FELIX-4751
getAllServiceReferences() Throw IllegalStateException: Invalid BundleContext,FELIX-4750
getAllServiceReferences() Throw IllegalStateException: Invalid BundleContext,FELIX-4749
getAllServiceReferences() Throw IllegalStateException: Invalid BundleContext,FELIX-4748
Executing actions with parameters on UPnP devices does not work,FELIX-4747
Escape outputting filter parameter in service servlet,FELIX-4746
Support for aspectj advice static method,FELIX-4745
RequestDispatchTest Failure,FELIX-4744
Have to escape '=' characters in quoted values in *.config files,FELIX-4743
Documentation on syntax of supported *.cfg and *.config files is missing,FELIX-4742
Comments are not supported in *.config files,FELIX-4741
Bundles don't start if no BundleEvent fired after reaching start level,FELIX-4740
noInitialDelay causes scan on start regardless of active.level,FELIX-4739
Deprecate WebConsoleUtil#keyVal,FELIX-4738
Provide an option to use system bundle context to get bundles/services (Support for subsystems),FELIX-4737
Change R4Library classes to be Native,FELIX-4736
Cannot create a new factory configuration from Web Admin Console,FELIX-4735
Web Console RESTful API should wait for asynchonous operations until they complete ,FELIX-4734
UPnP plugin native2ascii plugin conflicts with Eclipse m2e,FELIX-4733
Web Console event plugin is not compatible with OSGi/Minimum EE,FELIX-4732
Event plugin native2ascii plugin conflicts with Eclipse,FELIX-4731
RequestDispatcher's servletPath is wrong for the root servlet,FELIX-4730
[Core R6] Support for osgi.native namespace with Loading native code libraries,FELIX-4729
InstanceManager concurrency issue,FELIX-4728
WrappedResource.getCapabilities ignores the namespace param,FELIX-4727
[Core R6] Update bundle and service hooks for the system bundle,FELIX-4726
Inner Class Manipulation uses the wrong 'access level',FELIX-4725
WovenClassImpl is still mutable after Transform.,FELIX-4724
ImmutableList should throw UnsupportedOperationException for additional methods.,FELIX-4723
Allow WovenClassListener to be used as a Hook,FELIX-4722
Native Capabiliities throws Exception on Linux Kernel,FELIX-4721
Web Console and Gogo rely on Log history buffer in the Log Service,FELIX-4720
SnapshotCommand never properly restores archived data-areas,FELIX-4719
SnapshotCommand creates invalid snapshot archives,FELIX-4718
Cannot use the stream API on injected collections,FELIX-4717
Bundle org.apache.felix.ipojo physically contains OSGi API classes,FELIX-4716
instance bundle context injection does not works,FELIX-4715
"Felix should sort bundles by alphabetical name from ""deploy"" directory",FELIX-4714
Error in ProvidedServiceHandler.checkProvidedService : only the first service is checked,FELIX-4713
Upgrade connect to OSGi r5,FELIX-4712
Web Console: False AJAX error displayed on deleting or unbinding config,FELIX-4711
Web Console: Display templated name hint for factory configuration entries,FELIX-4710
Incorrect Named Dependencies are binded to the Service Instance,FELIX-4709
Provide more substitution options,FELIX-4708
use Maven Plugin Tools Java 5 annotations instead of javadoc tags,FELIX-4707
Provide way to override Jetty's error pages for status other than 200,FELIX-4706
Add Logger to BundleClassLoader,FELIX-4705
Show ranking in web console services plugin,FELIX-4704
User Admin plugin should use all available to the JVM crypto algorithms,FELIX-4703
Shell command argument 'string' type handling - loosing leading zeros,FELIX-4702
Properties with surprising spelling in AutoProcessor,FELIX-4701
Add HDFS Support to Felix fileInstall,FELIX-4700
Build broken as old snapshots are referenced,FELIX-4699
SynchronousConfigurationListener,FELIX-4698
Error parsing the default gosh_profile.,FELIX-4697
Improve native OS version sanitation,FELIX-4696
Normalize os.version system property in framework properties,FELIX-4695
Support binding configuration to all registrations with the corresponding PID,FELIX-4694
"When exception is thrown in ""onArrival"" method of iPojo white board pattern handler, related iPojo instance seems to be dead",FELIX-4693
Improve Service access time,FELIX-4692
Empty string value for property causes build failure,FELIX-4691
Some bundles containing native code can fail to start on Windows 7+,FELIX-4690
Create a more fluent syntax for the dependency manager builder,FELIX-4689
maven fail to execute goal 'maven-scr-plugin' when the path of class file have a signLetter in directoryName,FELIX-4688
Support v. 1.3 metatype namespace,FELIX-4687
"If component is declared with 1.3 NS and ds.factory.enabled = true, validation error occors",FELIX-4686
artefact org.apache.felix.ipojo.handler.transaction no longer available,FELIX-4685
"Replace DependencyManager Runtime ""factorySet"" by a cleaner API",FELIX-4684
Allow to configure the DependencyManager shell scope,FELIX-4683
[DS] NPE during deactivation of OSGi framework,FELIX-4682
Possible AIOOBE when using single-digit port,FELIX-4681
Add more DM ServiceDependency callback signatures,FELIX-4680
Import package not generated for the classes used in throw clause in a private method.,FELIX-4679
No list of blacklisted services available,FELIX-4678
Web Console Configuration plugin is confusing about default values & optionality of elements,FELIX-4677
Add Provide-Capability for DependencyManager Runtime bundle,FELIX-4676
"Corrupted value for configuration property ""action"" in Configuration Plugin",FELIX-4675
Allow inclusion/exclusion of protocols in SSL connector,FELIX-4674
Log any error thrown when trying to create a null object.,FELIX-4673
Allow callbacks to third party instance for adapters,FELIX-4672
Provide an expression parser,FELIX-4671
Deadlock in Felix HTTP service,FELIX-4670
Packages that cannot be resolved in Maven dependencies should have resolution:=optional,FELIX-4669
Can not use @Stereotype annotated annotation from another bundle (unless its package is included or re-exported),FELIX-4668
"""top"" command for the Dependency Manager Shell",FELIX-4667
The baseline goal should print out the resolved version used for comparison,FELIX-4666
Metatype service does not allow a default empty string in XML resource,FELIX-4665
[SSLFilter] Support for pre-3.0 Servlet API,FELIX-4664
Potential memory leak in AsyncDeliveryTask,FELIX-4663
WebConsole Xdialog javascript function is not working correctly,FELIX-4662
"FileInstall: Property ""felix.fileinstall.filter"" ignored when the service start",FELIX-4661
Security problem in WebConsoleUtil.getParameter() method,FELIX-4660
The maven bundle plugin incorrectly reports cardinality on service references in the generated generic requirements,FELIX-4659
URL of the CodeSource of a ProtectionDomain should resolve to the right JAR,FELIX-4658
HTTP SSLFilter wrong port,FELIX-4657
Improve memory usage and speed of the resolver,FELIX-4656
wrong ResourceResolverImpl#getMapPath value due Apache Felix HTTP SSLFilter,FELIX-4655
NullPointerException in BundleWiringImpl.findClassOrResourceByDelegation(),FELIX-4654
Different representation between Local and Remote Resource,FELIX-4653
Security problem with AbstractWebConsolePlugin.spoolResource,FELIX-4652
maven-scr-plugin spoils the Include-Resource of the maven-bundle-plugin,FELIX-4651
Refactor the BundleRepository to use the Resolver Module,FELIX-4650
Get MetaTypeInformation while bundle is starting,FELIX-4649
SlingAnnotationProcessor.processSlingFilter cannot deal with multiple scopes,FELIX-4648
Incorrect check of the NO_LOCAL_RESOURCES flag in ResolverImpl:resolve(),FELIX-4647
@Context(Context.Source.INSTANCE) does not inject bundle context,FELIX-4646
Service already unregistered exception from HttpServicePlugin,FELIX-4645
Designates with multiple Objects,FELIX-4644
Event Admin - Ensure thread based ordering,FELIX-4643
NPE in the resolver when substituting,FELIX-4642
Adding the capability to aggregate baselining reports.,FELIX-4641
missing (&(osgi.ee=JavaSE)(version=1.8)) when embedding in org.apache.felix.framework,FELIX-4640
Document the baseline capabilities of the Maven Bundle Plugin,FELIX-4639
Event Admin - Less locking on event handler timing,FELIX-4638
Gogo can't cope without several commands with defined service.ranking ,FELIX-4637
@PostUnregistration method called instead of @PostRegistration method,FELIX-4636
Avoid a useless change in the bundle location and a persistence the configuration,FELIX-4635
[RFC212] Implement replace strategy,FELIX-4634
[RFC212] Implement update strategy,FELIX-4633
[RFC212] Make properties map passed to event methods comparable,FELIX-4632
[DS][R6/RFC212] Implement field injection,FELIX-4631
Adding PerformanceTestIT to measure difference between send and post events,FELIX-4630
Event Admin Documentation - Properties and Property Defaults Incorrect,FELIX-4629
[Jetty] Ignore empty string value for truststore,FELIX-4628
Event Admin - Memory Leak in AsyncDeliverTasks,FELIX-4627
maven-bundle-plugin does not insert package range to Import-Package clause,FELIX-4626
ipojo 1.12.0 runtime error/exception  with target=java8,FELIX-4625
Event Admin - Retune Async to Sync ThreadPool ratios based on actual post/send ratio.,FELIX-4624
Event Admin - Make Async to Sync ThreadPool Ratio Configurable.,FELIX-4623
Regression: SCR spec version detection incorrect for activate method,FELIX-4622
bad injected bundle context when instances are defined using @Configuration,FELIX-4621
Warning should be removed when @Configuration is used,FELIX-4620
Debug output of project properties,FELIX-4619
NPE if config value for ignore topic or timeout is empty,FELIX-4618
Empty configurations for ignore topic and ignore timeout lead to error messages in the log,FELIX-4617
BundleRepository ResourceComparator violates comparison contract,FELIX-4616
Re-enable ability to activate Jetty logging through HTTP service properties,FELIX-4615
Factory create() method should have access to the component definition,FELIX-4614
Whiteboard service registration changes not propagated by AbstractTracker,FELIX-4613
@PostRegistration is not being called,FELIX-4612
"Strategy ""INSTANCE"" does not seem to work with @Bind annotation",FELIX-4611
WebConsole doesn't start with Java Security enabled,FELIX-4610
Possible ConcurrentModificationException in WatcherScanner,FELIX-4609
Merge Performance IT into Event Admin,FELIX-4608
[DS] Configure with nested annotations/interfaces,FELIX-4607
Add org.apache.felix.scr.jar as a bundle,FELIX-4606
Split packages not working with maven-bundle-plugin 2.5.0,FELIX-4605
Add a configuration to ignore certain events,FELIX-4604
Whiteboard registration might get lost,FELIX-4603
TemporalServiceDependency does not properly propagate RuntimeExceptions,FELIX-4602
Http Service version is 1.2.0 and not 1.2.1,FELIX-4601
Cherrypicking of propagated properties,FELIX-4600
Support Encryption Of Configuration Properties,FELIX-4599
BundleDependency can effectively track only one bundle,FELIX-4598
Race issue causing ConcurrentModificationException in org.apache.felix.http.whiteboard.internal.manager.ExtenderManager.add(ExtenderManager.java:111),FELIX-4597
Passing configuration values to the maven-bundle-plugin,FELIX-4596
Passing configuration to the maven-bundle-plugin does not always work,FELIX-4595
Propagation from dependencies overwrites service properties,FELIX-4594
Support the JavaSE/compact profiles for Java 8,FELIX-4593
PropertyResolver does not scan for NotNull in annotation tree,FELIX-4592
add the ability to specify the classifier in the new baseline configuration of the plugin.,FELIX-4591
[Core R6] Update to R6 API,FELIX-4590
Problem with forwarding from one servlet to another,FELIX-4589
createCopy method ConfigurationDependency produces a malfunctioning clone,FELIX-4588
Update method is not verified,FELIX-4587
A field must be volatile if methods are generated for a dynamic reference,FELIX-4586
SCR will create an additional component instance when ComponentContext.enableComponent is called,FELIX-4585
Change retention to RUNTIME for Property and Properties annotations,FELIX-4584
[Core R6] Ensure that all OSGi Core R6 CT tests pass,FELIX-4583
[Core R6] Support WovenClassListener,FELIX-4582
[Core R6] Support FrameworkWiring.findProviders(Requirement),FELIX-4581
[Core R6] Support service.bundleid Service Registration property,FELIX-4580
[Core R6] Support Framework Extension Bundle Activators,FELIX-4579
[Core R6] Support new Framework.init(FrameworkListener ... listeners) override,FELIX-4578
Setting multiple directories in felix.fileinstall.dir doesn't work,FELIX-4577
Bad Require-Capability generation when the SCR target filter has no parentheses,FELIX-4576
Unexpected behavior using proxies in declarative services,FELIX-4575
The maven-bundle-plugin only generates Provide-/Require-Capabilities for SCR if version is 1.1.0,FELIX-4574
Web Console Event plugin might cease operation if Event property is null,FELIX-4573
Web Console may cause NPE on refresh packages,FELIX-4572
NullPointerException when using Repository impl with Aries subsystem impl,FELIX-4571
NPE in resources loading with local URLs option,FELIX-4570
Framework tests fail on fast Windows 8.1 machine,FELIX-4569
webconsole doesn't recognise pipe '|' as list separator,FELIX-4568
scr bnd plugin incompatible with maven-bundle-plugin 2.5.0,FELIX-4567
Consistency in PersistenceManager and Cache is not guaranteed,FELIX-4566
Occasional ArrayIndexOutOfBoundException in iPOJO's ProvidedServiceHandler,FELIX-4565
JSON Output overwrites resource information,FELIX-4564
[DS] target filters in xml reference element are not turned into properties,FELIX-4563
Web Console License plugin fails to load files,FELIX-4562
Jetty 2.3.0 and Whiteboard 2.3.0 randomly not registering services,FELIX-4561
Unsynchonized access to map can cause infinite loop in UPnP web console plugin,FELIX-4560
DS plugin should use Inventory instead of deprecated ConfigurationPrinter,FELIX-4559
Web Console Service plugin doesn't list properties with value 0,FELIX-4558
Update Dependency Manager to latest felix parent pom/bundle plugin versions,FELIX-4557
"Maven Bundle Plugin fails with ArrayIndexOutOfBoundsException, ""Invalid Class File"" errors with Java 8 features",FELIX-4556
Improve output of baselining plugin,FELIX-4555
Typo in maven-bundle-plugin,FELIX-4554
Felix site links to version 2.3.7 of bundle plugin,FELIX-4553
Introduction goals page does not list bundle:baseline or bundle:baseline-report,FELIX-4552
NullPointerException when using felix.jarurls,FELIX-4551
Upgrade embedded Jetty to version 9.2.x in Felix Http Jetty,FELIX-4550
Correctly handle UnavailableException in HttpService,FELIX-4549
Implement the missing errors registration,FELIX-4548
Implement the missing resources registration,FELIX-4547
Implement HttpServiceRuntime service,FELIX-4546
Implement Servlet Context Helper,FELIX-4545
Simplify locking in URLHandlers,FELIX-4544
Update webconsole plugin,FELIX-4543
Basic type validation for different types of the Attribute Definitions (AD) within the metatype,FELIX-4542
Add support for multiple patterns in servlet/filter registration,FELIX-4541
Deadlock in BundleWiringImpl$BundleClassLoader.loadClass,FELIX-4540
Update to Bndlib 2.3.0,FELIX-4539
"[DS] problem with stale references with ""triangle"" of static references",FELIX-4538
[DS] use a bnd.bnd file for bnd configuration,FELIX-4537
[DS] [R6rfc190] service.pid property aggregates pids from all configurations.,FELIX-4536
Calling eclipse:eclipse with maven-scr-plugin r1.15.0 and up leads to corrupt Eclipse project,FELIX-4535
Bundles containing native code fails to start on Windows 7,FELIX-4534
Gogo runtime does not advertise published services,FELIX-4533
ConcurrentModificationException in fileinstall,FELIX-4532
Null pointer in IPojoTask,FELIX-4531
[SCR Plugin] Revisit setting the default output to target/classes,FELIX-4530
[Gogo] Let gosh be configured by files contributed by a bundle fragment,FELIX-4529
Felix properties cannot be used in unsigned JNLP files,FELIX-4528
"Infinite loop when bundle is undeployed ""coldly"" (when container is stopped)",FELIX-4527
Initial RFC189 (HttpService) implementation attempt,FELIX-4526
Refactor the Framework to use the Resolver module,FELIX-4525
Substituted exports may cause IndexOutOfBoundsException,FELIX-4524
Deadlock in URLHandlers when Felix.init and Felix.stop are called concurrently,FELIX-4523
PojoSRBundleContext should read org.osgi.framework.storage property from Bundle config,FELIX-4522
"When using exploded artifacts, fileinstall does not support well moving from one artifact listener to another",FELIX-4521
"NullPointerException in ""fileinstall"" thread - ResolverImpl.calculatePackageSpaces(ResolverImpl.java:553), felix framework v4.2.1",FELIX-4520
Provide configuration option to disable sending of Server header,FELIX-4519
Provide a way to disable some plugins,FELIX-4518
Generate generic capabilities and requirements for services from blueprint and scr descriptors,FELIX-4517
Update command fails for non-bundle resource,FELIX-4516
BundleRevision for system extension has no capabilities,FELIX-4515
Add Permissions file in fileinstaller bundle,FELIX-4514
Add Permissions file in EventAdmin bundle,FELIX-4513
Add a new Mojo to invoke the BND Baseline tool,FELIX-4512
Read in and Set configuration for bundles from a file,FELIX-4511
Support lambda expression,FELIX-4510
Change the frame computation strategy,FELIX-4509
Update to ASM 5.0.2,FELIX-4508
"[DS] ""persistent"" factory components",FELIX-4507
[DS] Control felix optional extensions through xml attributes in component descriptor,FELIX-4506
[Core R6] Support Prototype Service Factory,FELIX-4505
[Core R6] Support Framework DTOs,FELIX-4504
[Core R6] Support osgi.native capability,FELIX-4503
[Core R6] Provide an OSGi R6 compliant framework implementation,FELIX-4502
Impossible to set the felix.fileinstall.optionalImportRefreshScope property from startup,FELIX-4501
EventListener should implement SynchronousBundleListener,FELIX-4500
BundleEventConverter reports UNINSTALLED for UNRESOLVED events,FELIX-4499
Resolver does not allow optional reqs to resolve if they introduce class space inconsistencies,FELIX-4498
Invalid wirings may result from substitutable exports,FELIX-4497
Enable Bundle Repository to run as source project with eclipse and m2e,FELIX-4496
Candidates from already resolved fragments get ignored if no new hosts are available,FELIX-4495
Fragment identity capabilities are incorrectly wrapped,FELIX-4494
Allow ResolveContext to supply on demand resources,FELIX-4493
Enhance resolver logging to get better uses diagnostics,FELIX-4492
ResourceProcessors should be optional for processed resources,FELIX-4491
"IPOJO allows ""instance.name"" property to be an empty String",FELIX-4490
[Jetty] Ignore empty (string) entries in configuration arrays,FELIX-4489
Attempt to create nullable object for non-interface service,FELIX-4488
On Goal MANIFEST the Dependency Version Range been not adopt to MANIFEST.MF,FELIX-4487
Possible thread leakage in DA,FELIX-4486
Incorrect version of exported API,FELIX-4485
uninstall incorrectly marks a DP as stale when its uninstallation fails,FELIX-4484
osgi-bundlecontext is not available in init methods,FELIX-4483
Use scope=provided for OSGi APIs dependencies,FELIX-4482
Installation instruction contain wrong link,FELIX-4481
should ignore inner classes that are created within static methods,FELIX-4480
wrong MANIFEST.MF ends up in jar bundle file sometimes,FELIX-4479
Resolution failure with fragments,FELIX-4478
Sporadic failure to resolve jar files embedded in fragment bundles,FELIX-4477
Java 8 Support,FELIX-4476
Improve logging in FileInstall,FELIX-4475
Remove the static fields on FileInstall,FELIX-4474
[Jetty] Add support for Jetty Connector injection,FELIX-4473
Various concurrency issues in fileinstall,FELIX-4472
Missing license headers for several source files,FELIX-4471
Release the User Admin Plugin,FELIX-4470
"shell command ""scr help"" does not work without parameter",FELIX-4469
"EventObject is created with null pointer : ""null source""",FELIX-4468
Option to use system bundle context for tracking bundles,FELIX-4467
Deployment Admin does not always fire events,FELIX-4466
Service Controller cannot be set to true in the constructor,FELIX-4465
Wrong configuration admin package import / export clause,FELIX-4464
DA does not consistently handle non-unique resources,FELIX-4463
Classloader deadlock in Java6 between two bundles,FELIX-4462
Update to ASM 5 for Java 8 compatibility,FELIX-4461
Bad HTTPS settings render Jetty inaccessible,FELIX-4460
Enforcing parallel Installation of Bundles with same symbolic name,FELIX-4459
maven-bundle-plugin cannot find dependencies (in multi-module project),FELIX-4458
org.apache.felix.utils.properties will save key=value on top of comments if the original properties file are all comments,FELIX-4457
openConnection().getContentLengthLong() always returns -1 for bundle URLs on Java7,FELIX-4456
Missing default constructor creates invalid class instances,FELIX-4455
Online manipulator should be able to take advantage of Stereotypes,FELIX-4454
Introduce manipulator BOM (Bill of Material),FELIX-4453
org.apache.felix.http.bundle jetty dependency problem,FELIX-4452
HttpContext#getResource is called with a relative path,FELIX-4451
"failed to excurte scr-plugin, missing org/osgi/service/component/annotations/Component",FELIX-4450
The ConfigurationListener list contains duplicates and fires update on unchanged configurations,FELIX-4449
Invalid dynamism management when an interceptor implements both Tracking and Ranking interceptors,FELIX-4448
Regression in ScrShellCommand (NPE caused by falsy regex),FELIX-4447
Optionally enhance event admin to add a timestamp and the authenticated subject before dispatching events,FELIX-4446
PojoSR donation,FELIX-4445
Duplicate unregistrations do not throw IllegalArgumentException,FELIX-4444
Using iPOJO API shows different behavior (works when adding a service only),FELIX-4443
Lifecycle methods with wrong arguments should be treated as an error,FELIX-4442
The default value is not escaped correctly.,FELIX-4441
dots in pathinfo's are removed for include requests,FELIX-4440
ConfigurationAdmin should send events through the EventAdmin,FELIX-4439
[Jetty] Jetty server reports itself as being version 8.y.z-SNAPSHOT,FELIX-4438
[Inventory] Zip Writer does not pass the correct isZip status to the InventoryPrinterHandler,FELIX-4437
DirectoryWatcher should not refresh transformed bundles on every start-up,FELIX-4436
Add a method to do substitution without any callback,FELIX-4435
Require JDK 5,FELIX-4434
Provide more control over the substitution,FELIX-4433
DefaultServiceRankingInterceptor holds duplicate dependencies,FELIX-4432
Arrays are loaded as string from cfg file,FELIX-4431
[PackageAdmin Web Console Plugin] Provide using bundles with versions,FELIX-4430
URISyntaxException when bundle contains file with spaces in name,FELIX-4429
When inserting hosted capability from an already resolved fragment the real non-hosted capability is not removed as a candidate,FELIX-4428
Create separate API bundle,FELIX-4427
Allow DM to manage collections of services,FELIX-4426
Short command in Gogo Shell not working with Java 8 ,FELIX-4425
ClassLoader leak in Http Service ServletContextManager,FELIX-4424
ClassNotFoundException when stopping Jetty bundle,FELIX-4423
Remove asynchronous starting of Jetty service,FELIX-4422
Embed Jetty 8 in Felix Http Jetty,FELIX-4421
[HTTP SSLFilter] Implement sendRedirect,FELIX-4420
Open access to InstanceDeclaration and TypeDeclaration,FELIX-4419
Mark Bundle classloaders which should have been garbage collected,FELIX-4418
Circular references detected but not resolved if one of the references in the cycle has optional cardinality,FELIX-4417
Ability to specify an encoding for config files,FELIX-4416
Cannot associate HttpService instance with ServletContext,FELIX-4415
Empty string value in jaas.realm should also trigger default,FELIX-4414
Update maven-scr-plugin to use standard OSGi annotations,FELIX-4413
Add Provide-Capability for declarative services bundle,FELIX-4412
"""null"" Bundle-Activator causes exception if assertions turned on",FELIX-4411
Exceptions during rollback are not always properly handled,FELIX-4410
Improve exception messages to be more explicit and helpful,FELIX-4409
CaseInsensitiveDictionary is platform/locale dependant,FELIX-4408
All necessary Fragement-Hosts not refreshed,FELIX-4407
[DS] [R6/rfc190] support 1.3 namespace,FELIX-4406
[DS] [R6rfc190] support prototype scope,FELIX-4405
[DS] [R6/rfc190] implement additional event method signature single Map,FELIX-4404
[DS] [R6/rfc190] implement configuration through annotation instances,FELIX-4403
[DS] [R6/rfc190] implement multiple pid support,FELIX-4402
[DS] [R6/rfc190] Implement runtime/introspection/console based on DTOs,FELIX-4401
"addRole does not return the created user, but always null in MongoDB Useradmin",FELIX-4400
UserAdmin MongoDB plugin cannot return role when properties or members is null,FELIX-4399
SCR 1.8.0 download jar absent from all mirrors,FELIX-4398
Allow to configure Max Form Size,FELIX-4397
"[DS] for factory components, configuration changes should affect existing instances",FELIX-4396
DependencyManager Configuration Dependency does not clone some class fields,FELIX-4395
Race problems in DependencyManager Configuration Dependency,FELIX-4394
" @Property should accept empty name values on instance fields ",FELIX-4393
make @Property use RetentionPolicy.RUNTIME so that code can use runtime field/setter injecting property values,FELIX-4392
[DS] R6/rfc190 Support <refname>.cardinality.minimum configuration property,FELIX-4391
Login modules registered via LMF not updated if LMF service config changes,FELIX-4390
"Configuration ranking for LMF services should also use ""jaas.ranking"" property",FELIX-4389
Initial start level not considered when bundle.start() is called,FELIX-4388
JAAS config fields are initialized too late in the ConfigSpiOsgi constructor,FELIX-4387
Deadlock while creating composite instances programatically,FELIX-4386
NPE in Configuration Admin Service when deleting configuration,FELIX-4385
Difference between inner class and normal class service,FELIX-4384
Metatype generation should use component name (and not classname),FELIX-4383
NullPointerException in maven-bundle-plugin for wab packaging,FELIX-4382
StaticServiceProperty should be immutable by default,FELIX-4381
Give a Class to the specification field of @Bind fail on instantiation,FELIX-4380
"Properties, references and services from inherited classes are only used if the class has the component annotation",FELIX-4379
generate a metatype properties file if label/description are missing on @Component or @Property,FELIX-4378
Repair request header buffer size configuration,FELIX-4377
Allow inclusion/exclusion of cipher suites in SSL connector,FELIX-4376
Error when reading gosh_profile from stream,FELIX-4375
IPOJO: ConcurrentModificationException in ProvidedService,FELIX-4374
Felix does not appear to set org.osgi.* values as System properties,FELIX-4373
Allow importing packages as mandatory from optional POM dependencies,FELIX-4372
Pass the Repository 1.0 OSGi CT,FELIX-4371
Support Repository service as defined by OSGi spec,FELIX-4370
Support repository.xml as defined by OSGi Repository spec,FELIX-4369
Support OSGi Repository 1.0 Specification,FELIX-4368
Memory Usage plugin creates dump when threshold is configured to 0,FELIX-4367
Cannot run Oracle Universal Connection Pool in bundle,FELIX-4366
Input stream not properly closed on org.apache.felix.framework.Felix.getFrameworkVersion,FELIX-4365
